id,name,vendorId,description,productType,capabilityIds,features,pricingTier,marketPosition,logoUrl,performanceMetrics,deploymentModels,integrations,domains
prod_hubspot_service,Service Hub,vendor_hubspot,Customer support platform,module,"cap_customer_service_auto,cap_case_mgmt,cap_knowledge_base,cap_omnichannel,cap_self_service,cap_data_analysis","Ticketing|Knowledge Base|Customer Feedback|Live Chat|Automation|Reporting",$$,strong,assets/logos/hubspot.png,"productivityIncrease:15-25%|revenueImpact:10-20%|roi:246% over 2 years|timeToValue:3-6 months",cloud,"Sales Hub|Marketing Hub|CMS Hub",crm
prod_hubspot_operations,Operations Hub,vendor_hubspot,Data sync and automation,module,"cap_workflow_automation,cap_data_analysis","Data Sync|Workflow Automation|Custom Reporting|Data Quality|Programmable Automation",$$,strong,assets/logos/hubspot.png,"productivityIncrease:15-25%|revenueImpact:10-20%|roi:246% over 2 years|timeToValue:3-6 months",cloud,"Sales Hub|Marketing Hub|Service Hub",crm
prod_oracle_cx_sales,Oracle CX Sales,vendor_oracle,Enterprise sales automation,module,"cap_lead_mgmt,cap_opportunity_mgmt,cap_contact_mgmt,cap_sales_force_auto,cap_sales_forecasting,cap_workflow_automation,cap_pipeline_mgmt,cap_data_analysis","Opportunity Management|Forecasting|Territory Management|AI Recommendations|Mobile Access|Analytics",$$$,strong,assets/logos/oracle.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","CX Service|CX Marketing|CX Commerce|Oracle ERP",crm
prod_oracle_cx_service,Oracle CX Service,vendor_oracle,Enterprise customer service,module,"cap_customer_service_auto,cap_case_mgmt,cap_knowledge_base,cap_omnichannel,cap_field_service_mgmt,cap_workflow_automation,cap_data_analysis","Case Management|Knowledge Base|Chatbots|Field Service|AI-Powered Insights|Analytics",$$$,strong,assets/logos/oracle.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","CX Sales|CX Marketing|Oracle ERP",crm
prod_oracle_cx_marketing,Oracle CX Marketing,vendor_oracle,Enterprise marketing automation,module,"cap_marketing_auto,cap_campaign_mgmt,cap_email_marketing,cap_lead_mgmt,cap_segmentation,cap_journey_orchestration,cap_data_analysis","Campaign Management|Customer Segmentation|Journey Orchestration|Predictive Analytics|Cross-Channel Marketing",$$$,strong,assets/logos/oracle.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","CX Sales|CX Service|Oracle ERP",crm
prod_oracle_cx_commerce,Oracle CX Commerce,vendor_oracle,Enterprise commerce platform,module,"cap_commerce_mgmt,cap_order_mgmt,cap_cpq,cap_personalization,cap_sales_force_auto,cap_data_analysis","B2B and B2C Commerce|Order Management|Configure-Price-Quote (CPQ)|Personalized Experiences|Analytics",$$$,strong,assets/logos/oracle.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","CX Sales|CX Service|CX Marketing|Oracle ERP",crm
prod_sap_sales_cloud,SAP Sales Cloud,vendor_sap,Enterprise sales management,module,"cap_lead_mgmt,cap_opportunity_mgmt,cap_contact_mgmt,cap_sales_force_auto,cap_sales_forecasting,cap_pipeline_mgmt,cap_data_analysis","Account and Opportunity Management|Pipeline Analytics|AI Insights|Territory Management|Mobile Access",$$$,strong,assets/logos/sap.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","Service Cloud|Marketing Cloud|Commerce Cloud|SAP ERP",crm
prod_sap_service_cloud,SAP Service Cloud,vendor_sap,Enterprise service management,module,"cap_customer_service_auto,cap_case_mgmt,cap_knowledge_base,cap_field_service_mgmt,cap_iot_integration,cap_workflow_automation,cap_data_analysis","Case Management|Knowledge Base|Field Service|IoT Integration|AI-Powered Insights|Analytics",$$$,strong,assets/logos/sap.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","Sales Cloud|Marketing Cloud|SAP ERP|SAP IoT",crm
prod_sap_marketing_cloud,SAP Marketing Cloud,vendor_sap,Enterprise marketing platform,module,"cap_marketing_auto,cap_campaign_mgmt,cap_email_marketing,cap_lead_mgmt,cap_segmentation,cap_journey_orchestration,cap_data_analysis","Campaign Management|Customer Journey|Predictive Analytics|Segmentation|Multi-Channel Execution",$$$,strong,assets/logos/sap.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","Sales Cloud|Service Cloud|SAP ERP",crm
prod_sap_commerce_cloud,SAP Commerce Cloud,vendor_sap,Enterprise commerce platform,module,"cap_commerce_mgmt,cap_order_mgmt,cap_personalization,cap_cpq,cap_data_analysis","Omnichannel Commerce|Personalized Shopping|Order Management|B2B and B2C|Product Content Management",$$$,strong,assets/logos/sap.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","Sales Cloud|Service Cloud|Marketing Cloud|SAP ERP",crm
prod_sap_customer_data_cloud,SAP Customer Data Cloud,vendor_sap,Customer identity and data management,module,"cap_contact_mgmt,cap_segmentation,cap_personalization,cap_data_analysis","Unified Customer Profiles|Consent Management|Identity Management|Data Privacy|Customer Analytics",$$$,strong,assets/logos/sap.png,"productivityIncrease:15-20%|revenueImpact:12-18%|timeToValue:9-15 months","cloud,on-premise","Sales Cloud|Service Cloud|Marketing Cloud|Commerce Cloud",crm
prod_cloudnative_base,Cloud Native Base Services,vendor_cloudnative,Cloud-native CRM foundation,platform,"cap_contact_mgmt,cap_lead_mgmt,cap_workflow_automation,cap_data_analysis","API-First Architecture|Microservices|Cloud-Native|Flexible Integration|Scalable Infrastructure",$$,niche,assets/logos/cloudnative.png,"productivityIncrease:10-15%|timeToValue:3-6 months",cloud,"Multiple via APIs",crm
prod_sap_s4hana_finance,SAP S/4HANA Finance,vendor_sap,Advanced financial management for enterprises,module,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_budgeting,cap_cash_mgmt,cap_asset_mgmt,cap_tax_mgmt","General Ledger|AP/AR|Cash Management|Asset Management|Financial Reporting|Tax Management|Compliance",$$$$,leader,assets/logos/sap.png,"productivityIncrease:15-25%|timeToValue:9-18 months","cloud,on-premise,hybrid","S/4HANA Supply Chain|S/4HANA Manufacturing|SAP Analytics Cloud",erp
prod_sap_s4hana_scm,SAP S/4HANA Supply Chain,vendor_sap,End-to-end supply chain management,module,"cap_inventory_tracking,cap_warehouse_mgmt,cap_demand_planning,cap_procurement_auto,cap_logistics_mgmt,cap_supply_chain_planning","Inventory Management|Warehouse Management|Demand Planning|Procurement|Logistics|Supply Chain Planning",$$$$,leader,assets/logos/sap.png,"productivityIncrease:15-25%|timeToValue:9-18 months","cloud,on-premise,hybrid","S/4HANA Finance|S/4HANA Manufacturing|SAP Ariba",erp
prod_sap_s4hana_manufacturing,SAP S/4HANA Manufacturing,vendor_sap,Comprehensive manufacturing management,module,"cap_production_planning,cap_quality_mgmt,cap_shop_floor_control,cap_maintenance_mgmt,cap_bom_mgmt","Production Planning|Quality Management|Shop Floor Control|Maintenance Management|BOM Management",$$$$,leader,assets/logos/sap.png,"productivityIncrease:15-25%|timeToValue:9-18 months","cloud,on-premise,hybrid","S/4HANA Finance|S/4HANA Supply Chain|SAP MES",erp
prod_sap_successfactors,SAP SuccessFactors,vendor_sap,Cloud-based HCM suite,module,"cap_talent_acquisition,cap_payroll,cap_performance_mgmt,cap_learning_mgmt,cap_workforce_planning,cap_benefits_admin,cap_time_tracking","Talent Acquisition|Payroll|Performance Management|Learning|Workforce Planning|Benefits|Time Tracking",$$$,leader,assets/logos/sap.png,"productivityIncrease:15-20%|timeToValue:6-12 months",cloud,"S/4HANA Finance|SAP Concur",erp
prod_oracle_fusion_financials,Oracle Fusion Financials,vendor_oracle,Enterprise financial management with AI,module,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_budgeting,cap_revenue_mgmt,cap_cash_mgmt,cap_asset_mgmt,cap_tax_mgmt","General Ledger|AP/AR|Cash and Treasury|Revenue Management|Financial Reporting|AI-Driven Automation|Tax Management",$$$$,leader,assets/logos/oracle.png,"productivityIncrease:20-30%|timeToValue:9-15 months",cloud,"Oracle SCM|Oracle HCM|Oracle EPM",erp
prod_oracle_fusion_scm,Oracle Fusion Supply Chain,vendor_oracle,AI-driven supply chain management,module,"cap_inventory_tracking,cap_warehouse_mgmt,cap_demand_planning,cap_procurement_auto,cap_order_mgmt,cap_logistics_mgmt,cap_supply_chain_planning","Inventory Management|Order Management|Procurement|Logistics|Demand Sensing|Risk Management|Supply Chain Planning",$$$$,leader,assets/logos/oracle.png,"productivityIncrease:20-30%|timeToValue:9-15 months",cloud,"Oracle Financials|Oracle Manufacturing|Oracle IoT",erp
prod_oracle_fusion_manufacturing,Oracle Fusion Manufacturing,vendor_oracle,Smart manufacturing with IoT,module,"cap_production_planning,cap_quality_mgmt,cap_shop_floor_control,cap_maintenance_mgmt,cap_bom_mgmt","Production Scheduling|Quality Management|Cost Management|Maintenance Management|BOM Management|IoT Integration",$$$$,leader,assets/logos/oracle.png,"productivityIncrease:20-30%|timeToValue:9-15 months",cloud,"Oracle Financials|Oracle SCM|Oracle IoT",erp
prod_oracle_fusion_hcm,Oracle Fusion HCM,vendor_oracle,Comprehensive human capital management,module,"cap_talent_acquisition,cap_payroll,cap_performance_mgmt,cap_learning_mgmt,cap_workforce_planning,cap_benefits_admin,cap_time_tracking","Talent Management|Payroll|Performance Management|Learning|Workforce Planning|Benefits|Time Tracking",$$$$,leader,assets/logos/oracle.png,"productivityIncrease:20-30%|timeToValue:9-15 months",cloud,"Oracle Financials|Oracle SCM",erp
prod_oracle_fusion_projects,Oracle Fusion Project Management,vendor_oracle,Enterprise project management,module,"cap_project_planning,cap_project_accounting,cap_resource_mgmt,cap_project_billing,cap_project_collaboration","Project Planning|Project Accounting|Resource Management|Billing|Collaboration|Risk Management",$$$,leader,assets/logos/oracle.png,"productivityIncrease:20-25%|timeToValue:9-15 months",cloud,"Oracle Financials|Oracle HCM",erp
prod_d365_finance,Dynamics 365 Finance,vendor_microsoft,Financial management with Microsoft integration,module,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_budgeting,cap_cash_mgmt,cap_asset_mgmt,cap_tax_mgmt","General Ledger|AP/AR|Budgeting|Cash Management|Asset Management|Tax Management|Power BI Integration",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|timeToValue:6-12 months","cloud,on-premise,hybrid","D365 Supply Chain|D365 Business Central|Power Platform",erp
prod_d365_scm,Dynamics 365 Supply Chain Management,vendor_microsoft,AI-driven supply chain optimization,module,"cap_inventory_tracking,cap_warehouse_mgmt,cap_demand_planning,cap_procurement_auto,cap_production_planning,cap_logistics_mgmt,cap_supply_chain_planning","Demand Planning|Inventory Management|Warehouse Management|Production Management|Procurement|Transportation|Supply Chain Planning",$$$,leader,assets/logos/microsoft.png,"productivityIncrease:15-25%|timeToValue:6-12 months","cloud,on-premise,hybrid","D365 Finance|D365 Business Central|Azure IoT",erp
prod_d365_business_central,Dynamics 365 Business Central,vendor_microsoft,Unified ERP for SMBs,suite,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_inventory_tracking,cap_warehouse_mgmt,cap_procurement_auto,cap_order_mgmt,cap_production_planning,cap_project_planning","Financial Management|Supply Chain|Sales|Service|Project Management|Manufacturing|Reporting",$$,strong,assets/logos/microsoft.png,"productivityIncrease:15-20%|timeToValue:3-6 months","cloud,on-premise","D365 Sales|D365 Customer Service|Power Platform",erp
prod_d365_project_ops,Dynamics 365 Project Operations,vendor_microsoft,Project-based business management,module,"cap_project_planning,cap_project_accounting,cap_resource_mgmt,cap_project_billing,cap_time_tracking","Project Planning|Project Accounting|Resource Management|Time Tracking|Billing|Collaboration",$$$,strong,assets/logos/microsoft.png,"productivityIncrease:15-20%|timeToValue:6-12 months",cloud,"D365 Finance|D365 Sales|Power Platform",erp
prod_netsuite_financials,NetSuite Financials,vendor_netsuite,Cloud financial management for growing businesses,module,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_budgeting,cap_revenue_mgmt,cap_asset_mgmt","General Ledger|AP/AR|Fixed Assets|Multi-Book Accounting|Financial Reporting|Revenue Management|Budgeting",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite CRM|NetSuite SCM|NetSuite Commerce",erp
prod_netsuite_inventory,NetSuite Inventory Management,vendor_netsuite,Real-time inventory tracking and optimization,module,"cap_inventory_tracking,cap_warehouse_mgmt,cap_demand_planning,cap_cycle_counting,cap_multi_location","Real-time Tracking|Multi-location Management|Cycle Counting|Automated Replenishment|Demand Planning|Warehouse Management",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite Financials|NetSuite WMS|NetSuite Order Management",erp
prod_netsuite_order_mgmt,NetSuite Order Management,vendor_netsuite,Omnichannel order fulfillment,module,"cap_order_mgmt,cap_inventory_tracking,cap_warehouse_mgmt","Order Lifecycle Management|Multi-Channel Fulfillment|Inventory Allocation|Shipping Integration|Returns Management",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite Financials|NetSuite Inventory|NetSuite Commerce",erp
prod_netsuite_manufacturing,NetSuite Advanced Manufacturing,vendor_netsuite,Production planning and execution,module,"cap_production_planning,cap_quality_mgmt,cap_shop_floor_control,cap_bom_mgmt","Production Planning|Work Orders|Quality Management|Shop Floor Control|BOM Management",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite Financials|NetSuite Inventory|NetSuite SCM",erp
prod_netsuite_procurement,NetSuite Procurement,vendor_netsuite,Automated procurement management,module,"cap_procurement_auto,cap_supplier_mgmt,cap_purchase_orders,cap_contract_mgmt","Purchase Orders|Vendor Management|Contract Management|Automated Approvals|Spend Analytics",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite Financials|NetSuite Inventory",erp
prod_netsuite_psa,NetSuite Professional Services Automation,vendor_netsuite,Project-based business management,module,"cap_project_planning,cap_project_accounting,cap_resource_mgmt,cap_project_billing,cap_time_tracking","Project Planning|Resource Management|Time Tracking|Project Accounting|Billing|Collaboration",$$,strong,assets/logos/netsuite.png,"productivityIncrease:15-20%|timeToValue:3-6 months",cloud,"NetSuite Financials|NetSuite CRM",erp
prod_infor_cloudsuite_financials,Infor CloudSuite Financials,vendor_infor,Industry-specific financial management,module,"cap_general_ledger,cap_accounts_payable,cap_accounts_receivable,cap_financial_reporting,cap_budgeting,cap_cash_mgmt,cap_asset_mgmt","General Ledger|AP/AR|Cash Management|Asset Management|Financial Reporting|Industry-Specific Workflows",$$$,strong,assets/logos/infor.png,"productivityIncrease:15-20%|timeToValue:6-12 months",cloud,"Infor SCM|Infor Manufacturing|Infor HCM",erp
prod_infor_cloudsuite_scm,Infor CloudSuite Supply Chain,vendor_infor,Industry-focused supply chain management,module,"cap_inventory_tracking,cap_warehouse_mgmt,cap_demand_planning,cap_procurement_auto,cap_logistics_mgmt","Inventory Management|Warehouse Management|Demand Planning|Procurement|Logistics|Industry Solutions",$$$,strong,assets/logos/infor.png,"productivityIncrease:15-20%|timeToValue:6-12 months",cloud,"Infor Financials|Infor Manufacturing",erp
prod_infor_cloudsuite_manufacturing,Infor CloudSuite Industrial,vendor_infor,Manufacturing for discrete and process industries,module,"cap_production_planning,cap_quality_mgmt,cap_shop_floor_control,cap_maintenance_mgmt,cap_bom_mgmt","Production Planning|Quality Management|Shop Floor Control|Maintenance|BOM Management|Industry-Specific",$$$,strong,assets/logos/infor.png,"productivityIncrease:15-20%|timeToValue:6-12 months",cloud,"Infor Financials|Infor SCM",erp
